gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
yghF	0.029021324695523737	2.0	0.45700859283169704	0.03178526038081171	0.45700859283169704	0.02275702434391183	20.082089201348516	1.0584820230359818e-89	2.0	6.656859597999729e-89	9.493987473423481e-35	4.0	-1.8850825086346275	3.8210106535415132e-34	-1.8850825086346275	0.40081550857688225	-4.703117689551778	2.5621862792429063e-06	4.0	6.387672737834745e-06
yghJ	1.6706022718033375e-09	6.0	0.4174000496826847	8.965565525344577e-08	0.4174000496826847	0.0507833171973113	8.219235621433247	2.0480431478930805e-16	6.0	3.680077531370379e-16	1.9395087158780807e-08	5.0	-1.386779856607308	2.8442958700989828e-08	-1.386779856607308	0.39698737199382433	-3.4932593690382703	0.00047716280877754846	5.0	0.0008775688952414953
yghR											1.849158403520776e-14	4.0	-1.8319655792686975	3.5236086351590157e-14	-1.8319655792686975	0.558591795817205	-3.2796141887271735	0.0010394913391645242	4.0	0.0018133012184648406
yghS											1.35746024229081e-09	3.0	-0.7659922797986972	2.100552702510348e-09	-0.7659922797986972	0.2328771576432908	-3.289254676373217	0.0010045308427649047	3.0	0.0017643178696311193
yghW											1.8455908369423882e-25	2.0	-3.1409978971937367	5.334678828199013e-25	-3.1409978971937367	1.2129395975274546	-2.5895748672040866	0.009609452475584621	2.0	0.01394419336594535
ygiB											1.1684844719068773e-07	4.0	-0.8720526053218907	1.6361274179641745e-07	-0.8720526053218907	0.17877246039615527	-4.8780030402302685	1.0716527358477656e-06	4.0	2.7959544489051444e-06
ygiF											5.0114038107630375e-05	2.0	-0.9841364727745981	6.136064011132096e-05	-0.9841364727745981	0.4276636912889063	-2.301192485638836	0.021380753451133893	2.0	0.028261010636808057
ygjJ											3.5481828061002177e-13	4.0	-1.8479590064524465	6.40743273334999e-13	-1.8479590064524465	0.37896133879667704	-4.876378715360002	1.0805107140630751e-06	4.0	2.814973485839216e-06
ygjK											2.019308444461217e-08	3.0	-1.2832670001747644	2.9540820357032472e-08	-1.2832670001747644	0.6206649108951696	-2.067568147720708	0.03868064984998935	3.0	0.048049665384588845
yhaO	0.003112805977403533	2.0	0.37622319258205156	0.005543343500404152	0.37622319258205156	0.06634410588580764	5.670785483636059	1.4214429055562643e-08	2.0	1.9296147368849794e-08	8.577199049374269e-05	2.0	-1.088363896042197	0.00010277751864904414	-1.088363896042197	0.3775020134649997	-2.883067790956578	0.003938226773043024	2.0	0.006163199191378804
yhbE											2.1458252292171007e-20	6.0	-2.39160858568595	5.3054494303645945e-20	-2.39160858568595	0.4753864688722695	-5.030872231932512	4.882534575633899e-07	6.0	1.3299164739397342e-06
yhbV	0.00018918188901892425	2.0	0.4873152009804157	0.0005857362333085924	0.4873152009804157	0.10471565614699041	4.653699541321371	3.2603178751507724e-06	2.0	3.8939998360480295e-06	3.731386876311491e-17	2.0	-1.9356507130164964	8.069686075878464e-17	-1.9356507130164964	0.7996552525474186	-2.420606513682238	0.015494639220147445	2.0	0.021231204122263102
yhcB											2.997971715407867e-09	2.0	-1.3181068040694401	4.579880195027338e-09	-1.3181068040694401	0.013911388003682966	-94.7502006069041	0.0	2.0	0.0
yhcC											2.1360863512333764e-19	2.0	-5.551002415372259	5.051745718661279e-19	-5.551002415372259	1.5995125848501173	-3.4704337233410496	0.0005196185610095282	2.0	0.0009486446089508791
yhcD											1.0879911390411572e-07	2.0	-1.0689591856759286	1.531720858493237e-07	-1.0689591856759286	0.15676017003289494	-6.8190739104940725	9.162925372984075e-12	2.0	3.66312940857604e-11
yhcG	6.9760575209340975e-09	3.0	0.45997311081076425	2.3398859601466453e-07	0.45997311081076425	0.029018918966135412	15.850801035956753	1.38800267760491e-56	3.0	6.139242612483255e-56	1.6123070612901391e-10	2.0	-4.027300606905514	2.6049425517693965e-10	-4.027300606905514	1.6042849783690318	-2.5103399091848373	0.012061499846110674	2.0	0.017007378023384652
