gene	gene_pval_positive	ngrna_lfc_positive	fdr_gene_positive	gene_lfc_positive	gene_pval_negative	ngrna_lfc_negative	fdr_gene_negative	gene_lfc_negative
gspJ	0.6217637950251809	2.0	0.9994630414401307		0.9981081619065559	6.0	0.9995334312006408	
gspK	0.8671278037549718	15.0	0.9994630414401307		8.654345512404608e-19	5.0	3.925081589130537e-18	-3.1129291200745683
gspL	0.9836546200569156	11.0	0.9994630414401307		0.44313812284355847	5.0	0.5876461155064946	
gspM	0.7014438890410185	4.0	0.9994630414401307		0.9520731502772354	4.0	0.9995334312006408	
gspO	0.00010410517886085814	6.0	0.0015936737610223654	0.6242831181968271	0.9371360322574843	6.0	0.9995334312006408	
gss	0.693397659427473	22.0	0.9994630414401307		4.95794786803254e-09	19.0	1.3891344767061553e-08	-0.7227856262304438
gstA	0.9930703954285455	6.0	0.9994630414401307		0.4337186062337186	6.0	0.5772743794192845	
gstB	0.9648086732943909	5.0	0.9994630414401307		0.5059249024522632	6.0	0.658381800669126	
guaA	0.0008534132243415908	13.0	0.008603188503921078	0.4300319909575725	1.009907818794794e-65	30.0	2.3192854127582177e-64	-3.82006546056967
guaB	0.5119729371549737	6.0	0.9095267973217398		2.764027992717865e-104	27.0	2.0336080027903847e-102	-2.85804480871585
guaC	0.6157920440162976	12.0	0.9994630414401307		4.4004851637246817e-35	5.0	3.7679154214392587e-34	-2.678637887807926
guaD	0.5257185766591357	16.0	0.9212594762048647	0.19476895184151558	0.008052171485353853	10.0	0.014117951152387846	-0.5660423202463819
gudD	0.011941665698282181	18.0	0.06555319440280641	0.44467540674214434	7.238923813137853e-08	10.0	1.899619835508368e-07	-2.7067341720461457
gudP	0.005895623969696526	18.0	0.03867331151886646	0.4514694733711792	8.065906940735672e-55	20.0	1.2517909482633916e-53	-3.164294064141659
gudX	0.20990599736369028	12.0	0.5091753310817173	0.3831234613865328	0.086496003047813	12.0	0.13304243906657418	-1.447641294140861
gutM	0.8645364579091201	4.0	0.9994630414401307		0.9137785255219346	5.0	0.9995334312006408	
gutQ	0.08255035869304184	11.0	0.25942863088379514	0.40730607368604715	5.1768943763323786e-15	11.0	1.956974439311945e-14	-1.3144189943511946
gyrA	0.9699191086634067	5.0	0.9994630414401307		1.0579806758855998e-194	40.0	2.3351984584963824e-192	-5.395274391215471
gyrB	0.6493511333642249	9.0	0.9994630414401307		3.17002932716622e-150	24.0	5.4758810942745186e-148	-5.446892803474842
hcaB	0.06775192508684827	13.0	0.2271506086645791	0.35196009980304666	0.005459276742601191	12.0	0.009761344058665408	-2.302602140163131
hcaC	0.5358563660071599	9.0	0.9316024037977485		0.06130861574697317	6.0	0.09650520220393201	-0.6931652748215315
hcaD	0.9762245522799602	18.0	0.9994630414401307		3.873565579545802e-06	7.0	9.031500027896403e-06	-0.8794588059053311
hcaE	0.8136580904088977	22.0	0.9994630414401307		0.00031281637987215104	16.0	0.0006360386270378997	-1.528096882625779
hcaF	0.09036720133939433	4.0	0.27706456152997333	0.461749170579649	0.45934293501150614	4.0	0.6065036493189478	
hcaR	0.09977386807074691	9.0	0.2961349103270914	0.42902937652191936	1.4961688729776503e-12	4.0	5.012039571956327e-12	-2.018440175001035
hcaT	0.7907054074461332	16.0	0.9994630414401307		0.9661001930364194	9.0	0.9995334312006408	
hchA	0.9436587124702002	9.0	0.9994630414401307		0.002003634960565085	11.0	0.0037814725236609103	-5.46615708564373
hcp	0.10403319446314543	14.0	0.3042510816593397	0.3912481111863444	0.9793386398950267	12.0	0.9995334312006408	
hcr	0.08965489098265822	16.0	0.275313170342498	0.36864344544261846	0.03956769906763948	9.0	0.06387747598363741	-1.0181329162365345
hda	0.030828053009599697	5.0	0.13041400601685563	0.532337057971537	1.8525159503402906e-23	7.0	1.004099027380897e-22	-3.1433145827001927
hdeB	0.6061689574640778	2.0	0.9994630414401307		0.9496196146830677	3.0	0.9995334312006408	
hdeD	0.5818183647381454	2.0	0.9754454800571226		0.899231195861504	2.0	0.9995334312006408	
hdfR	0.9906606030772791	7.0	0.9994630414401307		4.955175906975643e-05	4.0	0.000107932641877271	-4.962392334579424
hdhA	0.08849486762406002	4.0	0.27247144962903874	0.3922741968508729	0.023664146311149287	3.0	0.039354396523313566	-1.63453531223648
helD	0.021884985629069816	25.0	0.10229592683863412	0.39126013309001834	3.1189348868444083e-28	21.0	2.005101667545766e-27	-2.8450420674877934
hemA	0.45952524447945253	6.0	0.8560988206221017		1.656202298687574e-93	9.0	9.267734834768636e-92	-6.077031463333858
hemB	0.28294154153102025	9.0	0.6256775278161881	0.36487826116333577	1.027939408063642e-49	13.0	1.3523189629923343e-48	-2.2956462638297213
hemC	0.7072442827010534	10.0	0.9994630414401307		1.0226079621282424e-63	18.0	2.09423785233789e-62	-3.8786260944804023
hemD	0.32072856767388686	9.0	0.6799585006144381	0.45251006083524914	1.2344018229427224e-108	11.0	1.0661474875111818e-106	-2.1974983682348683
hemE	0.28155666042001504	3.0	0.6233214098804984		1.3487184970677736e-45	19.0	1.6043289188174446e-44	-2.9173857695005907
hemF	0.0526340237876661	16.0	0.19149651757234826	0.4524699432259943	0.18479865672607057	10.0	0.26771221148660396	-0.49361995944022224
hemG	0.030585639296801557	6.0	0.12989744306356527	0.3200601995585256	0.01601011904713298	4.0	0.027050984524861724	-1.7286903058925391
hemH	0.01973237789135066	4.0	0.09438170454649708	0.5061175733698664	4.504127979298161e-70	10.0	1.1620065234903631e-68	-4.397258452311191
hemL	0.03182133952740845	11.0	0.133546976532769	0.5254788516894412	8.002018296886505e-15	14.0	2.9879716817227525e-14	-1.9724684735769564
