gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
kdpB	0.01116485246714551	2.0	0.375523653799638	0.014685794503353162	0.375523653799638	0.032499495028739445	11.554753495940806	6.984761340620018e-31	2.0	1.938873406620384e-30										
kdpD	0.000263084921433844	4.0	0.4748291123426598	0.0007701213154699798	0.4748291123426598	0.07102564828407568	6.685318949057998	2.304222360679369e-11	4.0	3.422322878868804e-11	0.0001106022976241453	4.0	-1.1769452523929753	0.00013173929942623808	-1.1769452523929753	0.41560806218208907	-2.8318633816042866	0.004627761671475139	4.0	0.007142590026051482
kefC	0.0033260041133779217	2.0	0.39236048482534247	0.005807881369347564	0.39236048482534247	0.014019443671571373	27.986879794736154	2.3469481893114046e-172	2.0	2.3915104967033933e-171	3.8050917950957225e-06	5.0	-1.36571941431678	4.9422140175085546e-06	-1.36571941431678	0.15071945797685307	-9.06133443318594	1.288642505876773e-19	5.0	8.116187010697571e-19
kup	0.004559281477494519	3.0	0.36767672156540004	0.007384751688899573	0.36767672156540004	0.037902102351215515	9.700694651667751	2.9945284463843228e-22	3.0	6.411157976966436e-22	2.3440253052998127e-16	4.0	-1.7834507245787783	4.847379519600419e-16	-1.7834507245787783	0.5222267878225717	-3.4150885518816234	0.000637612790195012	4.0	0.0011537449177419824
lacI	3.3346787914101387e-06	2.0	0.697841228829599	1.9893878309293267e-05	0.697841228829599	0.2470014307810216	2.8252517672590653	0.004724347840502788	2.0	0.004869526263258316										
lacZ	6.765917813314827e-05	5.0	0.5084643232421941	0.00024870154519262264	0.5084643232421941	0.029462028044627896	17.258293369078082	9.693372296741804e-67	5.0	5.034299805727195e-66	1.4689794586228536e-11	5.0	-2.6536516145449225	2.489913246674242e-11	-2.6536516145449225	1.1235172608114266	-2.361914415652504	0.018180838868031776	5.0	0.024463722464855352
lapA	0.0075018725539263914	2.0	0.493350118753539	0.010842024068062379	0.493350118753539	0.02865091757270727	17.219347949383025	1.9011797455417928e-66	2.0	9.686390475703437e-66										
ldcC	1.353186355065616e-07	2.0	0.4838850307089153	2.0172500293107794e-06	0.4838850307089153	0.03825336573933283	12.649475970460179	1.1262349481111599e-36	2.0	3.655722311409209e-36	1.7391105158856136e-08	2.0	-3.374097524072902	2.5601868030709468e-08	-3.374097524072902	1.0515099496105134	-3.2088117904378284	0.0013328470883818418	2.0	0.0022866024451261213
ldtB	0.004350944877307369	3.0	0.5183286862078983	0.007147980869862106	0.5183286862078983	0.18603657139416707	2.786165549727766	0.005333562489422514	3.0	0.005476425770389188										
ldtE	0.0028118384512269895	2.0	0.4910065065579635	0.005098040435220105	0.4910065065579635	0.12127495340267205	4.048704969835471	5.150181824963991e-05	2.0	5.814721415281926e-05										
leuC	0.01821015913121214	3.0	0.40019807417802156	0.021674086447288896	0.40019807417802156	0.05536355944962538	7.228546685878404	4.881900106203849e-13	3.0	7.736081861208855e-13										
lgoD	0.02821441457329993	3.0	0.4062468032316655	0.031081205282419044	0.4062468032316655	0.056176599153560366	7.231601936620942	4.773296002842699e-13	3.0	7.578901937452412e-13										
lhr	4.978656313324357e-05	7.0	0.5000173278731667	0.00019361441218483611	0.5000173278731667	0.09777428942727116	5.113996029038919	3.1541398953503176e-07	7.0	3.961127325673956e-07	9.133485010224513e-34	4.0	-3.487388832469975	3.5563135777338404e-33	-3.487388832469975	0.9923490148167833	-3.5142765099775395	0.0004409535480246857	4.0	0.0008210701438841399
